timestamp	start_id	iteration	loss_total	loss_naturalness	loss_epidemiology	loss_sparsity	config_json	error_type	error_details_json
1778045862.996	0	1	0.681496	0.604751	0.796614	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.21249888757995716, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.39892012923232817, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.49552208184128893, ""adhd_hyperactive_impulsive.emotional.anger"": 0.16617422292629125, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.23180610172873395, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.36878580421684193, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.31495159817021906, ""adhd_inattentive.emotional.frustration"": 0.21995683136642857, ""adhd_inattentive.emotional.self_esteem"": -0.3490228752474431, ""adhd_inattentive.emotional.shame"": 0.2353425660941306, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.03178800327639667, ""base_cognitive.importance_trigger"": 165.47018276416975, ""base_cognitive.impulse_override"": 0.07701173034491371, ""base_cognitive.plan_consistency"": 0.794990958235874, ""base_cognitive.recency_decay"": 0.9822821899448335, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.5412848328974154, ""base_cognitive.task_initiation_delay"": 0.0330482929345042, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.0638692839199649, ""base_emotional.anxiety"": 0.13648620976704037, ""base_emotional.excitement"": 0.2848055686222982, ""base_emotional.frustration"": 0.10280155744743326, ""base_emotional.loneliness"": 0.13756854298498183, ""base_emotional.self_esteem"": 0.6523943055943522, ""base_emotional.shame"": 0.1251873284031279, ""base_emotional.trust_in_teacher"": 0.6968599675555563}"		
1778045863.521	0	2	0.823765	0.805468	0.851210	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2151949458614449, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.363339704116817, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3605222973369886, ""adhd_hyperactive_impulsive.emotional.anger"": 0.24961053571226186, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.1879572293960905, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.37662321536072263, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4737144991812091, ""adhd_inattentive.emotional.frustration"": 0.133082827939114, ""adhd_inattentive.emotional.self_esteem"": -0.2760516546948053, ""adhd_inattentive.emotional.shame"": 0.23962537050190766, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.04014542999321241, ""base_cognitive.importance_trigger"": 164.1815656399175, ""base_cognitive.impulse_override"": 0.09487378449018334, ""base_cognitive.plan_consistency"": 0.7657917363934138, ""base_cognitive.recency_decay"": 0.9850100740418316, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.4723502542499457, ""base_cognitive.task_initiation_delay"": 0.09769217059882107, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.07248845404357196, ""base_emotional.anxiety"": 0.11470752402880927, ""base_emotional.excitement"": 0.2594975122087516, ""base_emotional.frustration"": 0.13956695711902262, ""base_emotional.loneliness"": 0.06069477914631471, ""base_emotional.self_esteem"": 0.7943597996926381, ""base_emotional.shame"": 0.05694228334046157, ""base_emotional.trust_in_teacher"": 0.6394111614274429}"		
1778045864.096	0	3	0.634115	0.491477	0.848071	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.23647785549340716, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.27431478638113876, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.4903394146377976, ""adhd_hyperactive_impulsive.emotional.anger"": 0.19705271914497025, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.10246300719256651, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.3182513880499903, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4392946088632847, ""adhd_inattentive.emotional.frustration"": 0.20669357728972773, ""adhd_inattentive.emotional.self_esteem"": -0.32099641689881225, ""adhd_inattentive.emotional.shame"": 0.1347761763003058, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.07417575547814732, ""base_cognitive.importance_trigger"": 153.9241188066489, ""base_cognitive.impulse_override"": 0.10081628743041672, ""base_cognitive.plan_consistency"": 0.7523021733636923, ""base_cognitive.recency_decay"": 0.9861430440313026, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.30990916055207235, ""base_cognitive.task_initiation_delay"": 0.013901726540188461, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.07985312616169712, ""base_emotional.anxiety"": 0.17527717990494057, ""base_emotional.excitement"": 0.2000686337321353, ""base_emotional.frustration"": 0.1680870114603435, ""base_emotional.loneliness"": 0.03705842275476909, ""base_emotional.self_esteem"": 0.7827970647244984, ""base_emotional.shame"": 0.11093807157407919, ""base_emotional.trust_in_teacher"": 0.6308047034912355}"		
1778045864.676	0	4	0.803731	0.813800	0.788628	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.10050498630744711, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.32582171265679877, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5062044403882155, ""adhd_hyperactive_impulsive.emotional.anger"": 0.14729986672939369, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.20759398637022927, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.38320182530433533, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4032045035248804, ""adhd_inattentive.emotional.frustration"": 0.14007722416273202, ""adhd_inattentive.emotional.self_esteem"": -0.33613847766822147, ""adhd_inattentive.emotional.shame"": 0.10857879730645112, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.0676995364384734, ""base_cognitive.importance_trigger"": 143.37458680351997, ""base_cognitive.impulse_override"": 0.05310715652089932, ""base_cognitive.plan_consistency"": 0.853900377149062, ""base_cognitive.recency_decay"": 0.9912234320589965, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.4902008205172532, ""base_cognitive.task_initiation_delay"": 0.08882813308886477, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.045670132575385165, ""base_emotional.anxiety"": 0.05345554523444327, ""base_emotional.excitement"": 0.2705549840931472, ""base_emotional.frustration"": 0.12697950721862114, ""base_emotional.loneliness"": 0.10706796693967147, ""base_emotional.self_esteem"": 0.7171466485382515, ""base_emotional.shame"": 0.0746470106152253, ""base_emotional.trust_in_teacher"": 0.7740184926204885}"		
1778045865.244	0	5	0.802057	0.812214	0.786823	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.20788213904528213, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2652125714053791, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5042370038632242, ""adhd_hyperactive_impulsive.emotional.anger"": 0.20078996894891843, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.20276933835203867, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.3618319968444589, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4218341851181381, ""adhd_inattentive.emotional.frustration"": 0.12932660931687356, ""adhd_inattentive.emotional.self_esteem"": -0.20444571990014165, ""adhd_inattentive.emotional.shame"": 0.1871023706510273, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.08371926344643789, ""base_cognitive.importance_trigger"": 130.30478552733325, ""base_cognitive.impulse_override"": 0.03297399774641897, ""base_cognitive.plan_consistency"": 0.8315241207597608, ""base_cognitive.recency_decay"": 0.9919963459834216, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.4658021591740904, ""base_cognitive.task_initiation_delay"": 0.07412398229608719, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.08787933934445766, ""base_emotional.anxiety"": 0.05611812100984269, ""base_emotional.excitement"": 0.19086170138733263, ""base_emotional.frustration"": 0.09595773646353556, ""base_emotional.loneliness"": 0.050609339556110265, ""base_emotional.self_esteem"": 0.6265675767719003, ""base_emotional.shame"": 0.1291106756995919, ""base_emotional.trust_in_teacher"": 0.5929760449158962}"		
1778045865.796	0	6	0.601973	0.498539	0.757126	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.11103186594302245, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.3850834011440823, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.544366988901862, ""adhd_hyperactive_impulsive.emotional.anger"": 0.21185626619973924, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.20903563499052286, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.34371090666465953, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3435243195635106, ""adhd_inattentive.emotional.frustration"": 0.24245998380987585, ""adhd_inattentive.emotional.self_esteem"": -0.24723015796193037, ""adhd_inattentive.emotional.shame"": 0.1121389231237817, ""base_cognitive.att_bandwidth"": 2, ""base_cognitive.conflict_tendency"": 0.03773100392815172, ""base_cognitive.importance_trigger"": 104.24217657423897, ""base_cognitive.impulse_override"": 0.07458850870456026, ""base_cognitive.plan_consistency"": 0.9241577211084805, ""base_cognitive.recency_decay"": 0.9945309764645778, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.37712628402700454, ""base_cognitive.task_initiation_delay"": 0.08039953639111483, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.03869837289622234, ""base_emotional.anxiety"": 0.08182808604878077, ""base_emotional.excitement"": 0.20147126262566833, ""base_emotional.frustration"": 0.17249610377133906, ""base_emotional.loneliness"": 0.048113670167645464, ""base_emotional.self_esteem"": 0.7481958108713809, ""base_emotional.shame"": 0.038792625696192976, ""base_emotional.trust_in_teacher"": 0.5984366235232655}"		
1778045866.364	0	7	0.639290	0.519404	0.819119	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.10326912125437675, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.3104700490967367, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3577612916607211, ""adhd_hyperactive_impulsive.emotional.anger"": 0.20803481481690028, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.24644416199346467, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.38089634159784236, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.39724298925857643, ""adhd_inattentive.emotional.frustration"": 0.1239018257656662, ""adhd_inattentive.emotional.self_esteem"": -0.2734631174114501, ""adhd_inattentive.emotional.shame"": 0.14675224436496204, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.11687985297265847, ""base_cognitive.importance_trigger"": 149.49317761881005, ""base_cognitive.impulse_override"": 0.09980666704701326, ""base_cognitive.plan_consistency"": 0.8128285066093303, ""base_cognitive.recency_decay"": 0.9825046483953424, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.5667746128883256, ""base_cognitive.task_initiation_delay"": 0.0702443233865772, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.08145565134760807, ""base_emotional.anxiety"": 0.09813860716645698, ""base_emotional.excitement"": 0.16493529202727228, ""base_emotional.frustration"": 0.18805116843921937, ""base_emotional.loneliness"": 0.14510595120301886, ""base_emotional.self_esteem"": 0.7709629206246075, ""base_emotional.shame"": 0.07191347520868242, ""base_emotional.trust_in_teacher"": 0.6427735931896701}"		
1778045866.997	0	8	0.785854	0.812824	0.745399	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2042539799319224, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2520274449464012, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3646181295663671, ""adhd_hyperactive_impulsive.emotional.anger"": 0.2367796356260201, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.19360819891865513, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.3256884836983954, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3586709293315913, ""adhd_inattentive.emotional.frustration"": 0.17738389961156478, ""adhd_inattentive.emotional.self_esteem"": -0.3073322210021332, ""adhd_inattentive.emotional.shame"": 0.19532550591827053, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.036816474505533804, ""base_cognitive.importance_trigger"": 114.69981349323578, ""base_cognitive.impulse_override"": 0.04126207031521857, ""base_cognitive.plan_consistency"": 0.9368617259853709, ""base_cognitive.recency_decay"": 0.9939041100507902, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.4006624732718383, ""base_cognitive.task_initiation_delay"": 0.05841088416465258, ""base_cognitive.vision_r"": 5, ""base_emotional.anger"": 0.0528976611552793, ""base_emotional.anxiety"": 0.07209582784872859, ""base_emotional.excitement"": 0.22236204484470573, ""base_emotional.frustration"": 0.06661940856655943, ""base_emotional.loneliness"": 0.08161166817295509, ""base_emotional.self_esteem"": 0.6016845682957406, ""base_emotional.shame"": 0.13519266037455943, ""base_emotional.trust_in_teacher"": 0.7933895956245084}"		
1778045867.567	0	9	0.650606	0.579525	0.757228	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.23137254128188112, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.3580833319349632, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.39806043599390606, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1529529490807342, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.19659524658250632, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.2698032702897028, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3391983057645599, ""adhd_inattentive.emotional.frustration"": 0.2340168428056394, ""adhd_inattentive.emotional.self_esteem"": -0.21368881031440853, ""adhd_inattentive.emotional.shame"": 0.20959814330030288, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.07757983024607401, ""base_cognitive.importance_trigger"": 102.99133952043515, ""base_cognitive.impulse_override"": 0.10751510911279695, ""base_cognitive.plan_consistency"": 0.9000329023863097, ""base_cognitive.recency_decay"": 0.9902471455569646, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.33898169159154207, ""base_cognitive.task_initiation_delay"": 0.017468517110012526, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.10059326453933969, ""base_emotional.anxiety"": 0.12605350714252453, ""base_emotional.excitement"": 0.277060653686645, ""base_emotional.frustration"": 0.15574098484556206, ""base_emotional.loneliness"": 0.09604582280785967, ""base_emotional.self_esteem"": 0.6290554737975828, ""base_emotional.shame"": 0.08559221815449827, ""base_emotional.trust_in_teacher"": 0.7525403134279038}"		
1778045868.157	0	10	0.725628	0.698797	0.765875	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.23853392857674882, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.33479873128489124, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3796798287839571, ""adhd_hyperactive_impulsive.emotional.anger"": 0.17275637485391346, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.19254730885957938, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.3314320009669348, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.46837444142892354, ""adhd_inattentive.emotional.frustration"": 0.1534815453499972, ""adhd_inattentive.emotional.self_esteem"": -0.3315741382426732, ""adhd_inattentive.emotional.shame"": 0.1673122544723058, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.10492189852121696, ""base_cognitive.importance_trigger"": 119.58005733127325, ""base_cognitive.impulse_override"": 0.10455644002101915, ""base_cognitive.plan_consistency"": 0.8879890047645947, ""base_cognitive.recency_decay"": 0.9855343021406705, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.41857404250223773, ""base_cognitive.task_initiation_delay"": 0.05455655241873732, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.13680727316321745, ""base_emotional.anxiety"": 0.15436170112221473, ""base_emotional.excitement"": 0.17216982466729325, ""base_emotional.frustration"": 0.19938244498079827, ""base_emotional.loneliness"": 0.1464669635519934, ""base_emotional.self_esteem"": 0.7567821333224243, ""base_emotional.shame"": 0.049486472863113404, ""base_emotional.trust_in_teacher"": 0.776679435987504}"		
