timestamp	start_id	iteration	loss_total	loss_naturalness	loss_epidemiology	loss_sparsity	config_json	error_type	error_details_json
1778047092.448	0	1	0.909849	0.813313	0.804651	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.12156438014908087, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.26474218118269466, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.4886401686268306, ""adhd_hyperactive_impulsive.emotional.anger"": 0.19723319914881768, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.14151920821259534, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.2901143183380078, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.48131816643233344, ""adhd_inattentive.emotional.frustration"": 0.13780639449712845, ""adhd_inattentive.emotional.self_esteem"": -0.27285154491466085, ""adhd_inattentive.emotional.shame"": 0.10666009206985032, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.060499844108408446, ""base_cognitive.importance_trigger"": 155.07910093205695, ""base_cognitive.impulse_override"": 0.11280360247175182, ""base_cognitive.plan_consistency"": 0.8215625680457537, ""base_cognitive.recency_decay"": 0.9934034654904017, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.3578107499446096, ""base_cognitive.task_initiation_delay"": 0.03435661170174182, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.12924344218321182, ""base_emotional.anxiety"": 0.13230362849046656, ""base_emotional.excitement"": 0.2172456371083864, ""base_emotional.frustration"": 0.11040397094706207, ""base_emotional.loneliness"": 0.13215146022929164, ""base_emotional.self_esteem"": 0.6232530253725319, ""base_emotional.shame"": 0.11746431243590148, ""base_emotional.trust_in_teacher"": 0.5908216957639074}"		
1778047093.089	0	2	0.912879	0.809434	0.818045	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1375480657214758, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.33456236438653797, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.507127897873196, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1389900732520536, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.2299906172381457, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.364814687205565, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3792808589443508, ""adhd_inattentive.emotional.frustration"": 0.17837836203453725, ""adhd_inattentive.emotional.self_esteem"": -0.32989931631823133, ""adhd_inattentive.emotional.shame"": 0.13638094545678947, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.06774148122014897, ""base_cognitive.importance_trigger"": 124.97741736135282, ""base_cognitive.impulse_override"": 0.06262282223154018, ""base_cognitive.plan_consistency"": 0.8905383293542986, ""base_cognitive.recency_decay"": 0.9890427976155363, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.3916123210965181, ""base_cognitive.task_initiation_delay"": 0.018923514504391288, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.13872983917181736, ""base_emotional.anxiety"": 0.12680573329359274, ""base_emotional.excitement"": 0.2316785001539371, ""base_emotional.frustration"": 0.08996458336405036, ""base_emotional.loneliness"": 0.0753328693886347, ""base_emotional.self_esteem"": 0.7084056335452165, ""base_emotional.shame"": 0.10882319301519006, ""base_emotional.trust_in_teacher"": 0.639380090084825}"		
1778047093.674	0	3	0.728395	0.522612	0.787070	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.24280850766002038, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.27199847620039613, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3830605832951177, ""adhd_hyperactive_impulsive.emotional.anger"": 0.16932456945440083, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.10478979562089048, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.32085137487115667, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.41823915124165195, ""adhd_inattentive.emotional.frustration"": 0.23561261584098064, ""adhd_inattentive.emotional.self_esteem"": -0.2476334201313025, ""adhd_inattentive.emotional.shame"": 0.1200788606474466, ""base_cognitive.att_bandwidth"": 2, ""base_cognitive.conflict_tendency"": 0.08740428443617557, ""base_cognitive.importance_trigger"": 112.96001853647847, ""base_cognitive.impulse_override"": 0.051135224974048835, ""base_cognitive.plan_consistency"": 0.9319470335176906, ""base_cognitive.recency_decay"": 0.9939777263600357, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.5657392068017602, ""base_cognitive.task_initiation_delay"": 0.043527774625392805, ""base_cognitive.vision_r"": 5, ""base_emotional.anger"": 0.06767062449681827, ""base_emotional.anxiety"": 0.055150872526968174, ""base_emotional.excitement"": 0.2065816875624539, ""base_emotional.frustration"": 0.16883211150318683, ""base_emotional.loneliness"": 0.12416569376696014, ""base_emotional.self_esteem"": 0.6599071886228591, ""base_emotional.shame"": 0.05267492975096989, ""base_emotional.trust_in_teacher"": 0.716230968065268}"		
1778047094.253	0	4	0.912298	0.812999	0.811246	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.18398778891781042, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.29963852070860897, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.39749258609630544, ""adhd_hyperactive_impulsive.emotional.anger"": 0.12283050238431602, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.208304265345844, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.3414910652169593, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4254336424752187, ""adhd_inattentive.emotional.frustration"": 0.12658179888979618, ""adhd_inattentive.emotional.self_esteem"": -0.18328081310327227, ""adhd_inattentive.emotional.shame"": 0.181655016274599, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.10544042394044588, ""base_cognitive.importance_trigger"": 114.76164937073597, ""base_cognitive.impulse_override"": 0.08208334106451608, ""base_cognitive.plan_consistency"": 0.883597650250033, ""base_cognitive.recency_decay"": 0.9824952923960605, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.5288679187685599, ""base_cognitive.task_initiation_delay"": 0.027841636227864744, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.043353124908630705, ""base_emotional.anxiety"": 0.14566082185035428, ""base_emotional.excitement"": 0.24980885284891585, ""base_emotional.frustration"": 0.1872058993885577, ""base_emotional.loneliness"": 0.0990642907323551, ""base_emotional.self_esteem"": 0.6008031503187563, ""base_emotional.shame"": 0.031321876029845055, ""base_emotional.trust_in_teacher"": 0.6520352222623809}"		
1778047094.877	0	5	0.927725	0.815881	0.845491	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.10853643432794954, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.3410359628232861, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.46316437523618736, ""adhd_hyperactive_impulsive.emotional.anger"": 0.2150700069090424, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.16928395310756467, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.40966792036976046, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4468542022107953, ""adhd_inattentive.emotional.frustration"": 0.19190523814484092, ""adhd_inattentive.emotional.self_esteem"": -0.29898345657562436, ""adhd_inattentive.emotional.shame"": 0.19145763480221306, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.04535025052408902, ""base_cognitive.importance_trigger"": 138.65875816918077, ""base_cognitive.impulse_override"": 0.0315884884611191, ""base_cognitive.plan_consistency"": 0.7907912118053746, ""base_cognitive.recency_decay"": 0.985288690560026, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.5755250651486066, ""base_cognitive.task_initiation_delay"": 0.00964461221679128, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.11507754947415975, ""base_emotional.anxiety"": 0.10558433023195328, ""base_emotional.excitement"": 0.2948906858921171, ""base_emotional.frustration"": 0.10689358758981711, ""base_emotional.loneliness"": 0.08480575145381072, ""base_emotional.self_esteem"": 0.7491614533707167, ""base_emotional.shame"": 0.13031023177168907, ""base_emotional.trust_in_teacher"": 0.5731001068761068}"		
1778047095.477	0	6	0.928456	0.812538	0.852332	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.22869377058973886, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.3193618452740862, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.41499023192956797, ""adhd_hyperactive_impulsive.emotional.anger"": 0.24530702467065038, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.24368318466581074, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.42422915162839836, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3431207510320572, ""adhd_inattentive.emotional.frustration"": 0.1629779264586898, ""adhd_inattentive.emotional.self_esteem"": -0.33607477383651907, ""adhd_inattentive.emotional.shame"": 0.15358341403183348, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.07839358230811225, ""base_cognitive.importance_trigger"": 167.92514420257163, ""base_cognitive.impulse_override"": 0.04138069835494973, ""base_cognitive.plan_consistency"": 0.8686459857330207, ""base_cognitive.recency_decay"": 0.9907893524809841, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.4555835308271362, ""base_cognitive.task_initiation_delay"": 0.07450464107179536, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.10194054405494632, ""base_emotional.anxiety"": 0.09792191247375234, ""base_emotional.excitement"": 0.19160344825941794, ""base_emotional.frustration"": 0.07960746114962115, ""base_emotional.loneliness"": 0.051057510004743116, ""base_emotional.self_esteem"": 0.6892926646784462, ""base_emotional.shame"": 0.05948662376233527, ""base_emotional.trust_in_teacher"": 0.6934882399251077}"		
1778047096.062	0	7	0.876638	0.769148	0.787872	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.14748847764122688, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.36779950764485236, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.525769411649043, ""adhd_hyperactive_impulsive.emotional.anger"": 0.2364349139422324, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.14966146832126825, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.2788775190989893, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3909887727050917, ""adhd_inattentive.emotional.frustration"": 0.2214682422836232, ""adhd_inattentive.emotional.self_esteem"": -0.19878317936199158, ""adhd_inattentive.emotional.shame"": 0.24508455930187, ""base_cognitive.att_bandwidth"": 2, ""base_cognitive.conflict_tendency"": 0.05020474364716019, ""base_cognitive.importance_trigger"": 134.49952944674834, ""base_cognitive.impulse_override"": 0.1055196820182545, ""base_cognitive.plan_consistency"": 0.9245910129643996, ""base_cognitive.recency_decay"": 0.9867183709826917, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.4363819804752738, ""base_cognitive.task_initiation_delay"": 0.08115192341015776, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.06149079720833539, ""base_emotional.anxiety"": 0.15983440677097965, ""base_emotional.excitement"": 0.1689424530822018, ""base_emotional.frustration"": 0.12781059271540862, ""base_emotional.loneliness"": 0.054591731624307985, ""base_emotional.self_esteem"": 0.6735927954125669, ""base_emotional.shame"": 0.0880790838687868, ""base_emotional.trust_in_teacher"": 0.7997656323058152}"		
1778047096.658	0	8	0.735814	0.504461	0.832844	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2070531683005035, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.28665597640717855, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5484433036227899, ""adhd_hyperactive_impulsive.emotional.anger"": 0.14847104123605154, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.20470396708487554, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.26725183228538757, ""adhd_inattentive.cognitive.retention"": -3, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.47434164649412536, ""adhd_inattentive.emotional.frustration"": 0.24431132817328616, ""adhd_inattentive.emotional.self_esteem"": -0.26091999734589993, ""adhd_inattentive.emotional.shame"": 0.2096374550390216, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.11160327228458465, ""base_cognitive.importance_trigger"": 145.79607024295663, ""base_cognitive.impulse_override"": 0.10038641151715519, ""base_cognitive.plan_consistency"": 0.7706933149194701, ""base_cognitive.recency_decay"": 0.988249413744855, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.4852422973634094, ""base_cognitive.task_initiation_delay"": 0.09257719194382617, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.03511822396095972, ""base_emotional.anxiety"": 0.1745275027470903, ""base_emotional.excitement"": 0.2840273433534124, ""base_emotional.frustration"": 0.175433386483409, ""base_emotional.loneliness"": 0.14061837477389355, ""base_emotional.self_esteem"": 0.7816877819036547, ""base_emotional.shame"": 0.09527845894901209, ""base_emotional.trust_in_teacher"": 0.6040920557790983}"		
1778047097.240	0	9	0.771362	0.526054	0.889324	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1693608906593717, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.38924186605355604, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.3566294593012902, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1788041053965916, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.11571688623918519, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.4326850312037591, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.30782280846534077, ""adhd_inattentive.emotional.frustration"": 0.15573527977287088, ""adhd_inattentive.emotional.self_esteem"": -0.21744709678520585, ""adhd_inattentive.emotional.shame"": 0.16357257644105533, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.03326656580861841, ""base_cognitive.importance_trigger"": 160.08012147869152, ""base_cognitive.impulse_override"": 0.06924340628246012, ""base_cognitive.plan_consistency"": 0.7505486788932991, ""base_cognitive.recency_decay"": 0.9800259923193673, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.37716817269107694, ""base_cognitive.task_initiation_delay"": 0.06918656926773468, ""base_cognitive.vision_r"": 5, ""base_emotional.anger"": 0.11389633148674644, ""base_emotional.anxiety"": 0.08192460450466639, ""base_emotional.excitement"": 0.15644421378343232, ""base_emotional.frustration"": 0.15426461790098195, ""base_emotional.loneliness"": 0.11284768046940187, ""base_emotional.self_esteem"": 0.7331140382629313, ""base_emotional.shame"": 0.14134368484673798, ""base_emotional.trust_in_teacher"": 0.7269198543950615}"		
1778047097.799	0	10	0.916658	0.808909	0.828283	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.19097005264596328, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.37988511431491834, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.4424923403957539, ""adhd_hyperactive_impulsive.emotional.anger"": 0.205797260604379, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.17899536204567745, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.37884200591728096, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.33244437762850826, ""adhd_inattentive.emotional.frustration"": 0.20078023038319254, ""adhd_inattentive.emotional.self_esteem"": -0.3015643617016369, ""adhd_inattentive.emotional.shame"": 0.22389561593393367, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.09431916567618603, ""base_cognitive.importance_trigger"": 102.27389536557459, ""base_cognitive.impulse_override"": 0.08805972512523921, ""base_cognitive.plan_consistency"": 0.8383047223749437, ""base_cognitive.recency_decay"": 0.9832695842736312, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.3083270075187808, ""base_cognitive.task_initiation_delay"": 0.05709381865099414, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.07965734090504697, ""base_emotional.anxiety"": 0.07336467794254624, ""base_emotional.excitement"": 0.2688090976888219, ""base_emotional.frustration"": 0.05844943722581139, ""base_emotional.loneliness"": 0.03227436306752925, ""base_emotional.self_esteem"": 0.7683435943647163, ""base_emotional.shame"": 0.07519774434119189, ""base_emotional.trust_in_teacher"": 0.7680467327813271}"		
